Ngram,Data,Partia
Żądam sprawiedliwości!,05-04-2008 12:45,PO
Polska jest be,28-08-2008 08:54,PSL
Niesioł siad,12-10-2008 13:23,PSL
Polska jest super,08-04-2008 12:34,PO
Balcerowicz musi odejść,27-10-2008 01:56,SLD
Banda matołów,20-05-2008 09:42,RP
Niesioł siad,01-08-2008 13:56,PO
Banda matołów,29-02-2008 06:15,RP
Polska jest super,21-08-2008 14:00,PSL
Gdzie jest krzyż,14-08-2008 22:38,SLD
Gdzie jest krzyż,03-04-2008 06:13,PO
Gdzie jest krzyż,10-09-2008 01:11,RP
Nie chcę już nic.,07-06-2008 03:38,PSL
Niesioł siad,30-09-2008 09:07,PO
Polska jest super,18-08-2008 15:33,RP
Żądam sprawiedliwości!,06-04-2008 05:53,PIS
Żądam sprawiedliwości!,26-05-2008 05:41,PIS
Niesioł siad,20-10-2008 10:16,PO
Polska jest be,22-09-2008 06:31,PO
Polska jest be,31-07-2008 14:55,RP
Balcerowicz musi odejść,05-01-2008 16:05,SLD
Balcerowicz musi odejść,04-02-2008 21:18,PSL
Balcerowicz musi odejść,07-03-2008 05:56,RP
Polska jest super,21-10-2008 04:55,PSL
Niesioł siad,07-03-2008 15:29,PO
Balcerowicz musi odejść,20-04-2008 22:17,PO
Gdzie jest krzyż,17-06-2008 02:44,SLD
Żądam sprawiedliwości!,03-09-2008 05:47,SLD
Niesioł siad,02-06-2008 00:57,PSL
Nie chcę już nic.,18-03-2008 07:44,SLD
Banda matołów,24-11-2008 06:25,PSL
Niesioł siad,05-02-2008 17:31,SLD
Żądam sprawiedliwości!,22-06-2008 17:57,PSL
Niesioł siad,11-01-2008 04:58,SLD
Żądam sprawiedliwości!,31-03-2008 19:37,PIS
Niesioł siad,15-11-2008 21:18,PO
Gdzie jest krzyż,03-04-2008 07:08,SLD
Banda matołów,30-09-2008 12:42,PO
Nie chcę już nic.,04-02-2008 14:08,PSL
Polska jest super,19-05-2008 07:55,PO
Żądam sprawiedliwości!,25-05-2008 18:14,SLD
Polska jest super,12-05-2008 03:46,RP
Polska jest super,28-06-2008 08:50,PO
Banda matołów,11-10-2008 15:36,PIS
Banda matołów,20-03-2008 12:10,SLD
Polska jest be,22-08-2008 05:27,PIS
Polska jest super,28-11-2008 07:27,SLD
Żądam sprawiedliwości!,28-12-2008 19:12,PO
Gdzie jest krzyż,21-01-2008 15:30,PSL
Banda matołów,02-05-2008 13:03,SLD
Balcerowicz musi odejść,14-07-2008 22:47,PIS
Polska jest be,06-08-2008 00:21,PSL
Żądam sprawiedliwości!,09-12-2008 16:44,PO
Nie chcę już nic.,12-06-2008 16:10,PO
Żądam sprawiedliwości!,25-10-2008 13:29,SLD
Balcerowicz musi odejść,30-10-2008 17:34,PSL
Nie chcę już nic.,25-04-2008 12:23,SLD
Banda matołów,05-09-2008 08:29,SLD
Niesioł siad,31-10-2008 23:11,PO
Żądam sprawiedliwości!,08-04-2008 23:32,RP
Żądam sprawiedliwości!,22-07-2008 10:15,SLD
Żądam sprawiedliwości!,12-10-2008 18:58,PSL
Balcerowicz musi odejść,19-06-2008 14:15,RP
Polska jest be,17-05-2008 08:25,PSL
Balcerowicz musi odejść,01-05-2008 04:12,PO
Polska jest super,05-01-2008 06:22,SLD
Żądam sprawiedliwości!,30-01-2008 12:58,PIS
Balcerowicz musi odejść,29-06-2008 12:36,SLD
Gdzie jest krzyż,27-12-2008 04:15,PO
Gdzie jest krzyż,25-08-2008 13:57,RP
Żądam sprawiedliwości!,08-11-2008 23:14,RP
Polska jest super,30-08-2008 02:24,PSL
Nie chcę już nic.,16-07-2008 14:15,PO
Polska jest be,14-07-2008 03:25,PIS
Polska jest be,03-01-2008 04:30,PSL
Nie chcę już nic.,19-02-2008 04:59,PSL
Gdzie jest krzyż,02-04-2008 18:48,PO
Nie chcę już nic.,20-08-2008 14:10,SLD
Polska jest super,12-04-2008 04:34,PO
Żądam sprawiedliwości!,26-12-2008 03:07,RP
Gdzie jest krzyż,06-08-2008 06:44,PO
Niesioł siad,19-08-2008 17:25,PIS
Nie chcę już nic.,20-09-2008 14:53,SLD
Nie chcę już nic.,08-06-2008 02:08,SLD
Polska jest super,13-06-2008 13:56,PIS
Banda matołów,09-07-2008 17:34,RP
Banda matołów,02-10-2008 02:17,PIS
Żądam sprawiedliwości!,12-04-2008 01:46,RP
Żądam sprawiedliwości!,27-02-2008 15:03,RP
Nie chcę już nic.,18-01-2008 10:48,SLD
Żądam sprawiedliwości!,14-07-2008 05:52,PIS
Gdzie jest krzyż,24-08-2008 01:15,SLD
Gdzie jest krzyż,29-04-2008 10:58,SLD
Polska jest super,05-09-2008 02:48,PO
Polska jest super,06-08-2008 05:10,PO
Polska jest be,31-01-2008 00:45,PSL
Banda matołów,07-11-2008 14:11,PO
Żądam sprawiedliwości!,20-03-2008 21:48,PO
Niesioł siad,19-06-2008 08:42,PO
Balcerowicz musi odejść,20-07-2008 01:38,PO
Polska jest be,22-12-2008 10:23,PIS
Nie chcę już nic.,26-01-2008 22:49,PIS
Banda matołów,06-11-2008 02:02,PO
Polska jest super,30-06-2008 04:08,RP
Nie chcę już nic.,01-07-2008 10:19,PSL
Nie chcę już nic.,09-03-2008 14:19,PSL
Banda matołów,10-07-2008 17:55,PSL
Gdzie jest krzyż,11-07-2008 07:23,RP
Gdzie jest krzyż,13-10-2008 10:54,PO
Gdzie jest krzyż,05-07-2008 21:33,PSL
Gdzie jest krzyż,15-10-2008 00:27,SLD
Gdzie jest krzyż,27-06-2008 13:36,PSL
Polska jest be,08-01-2008 02:45,RP
Polska jest be,12-02-2008 14:15,SLD
Niesioł siad,31-01-2008 13:39,PIS
Polska jest be,03-02-2008 16:30,RP
Polska jest super,31-03-2008 14:37,PO
Nie chcę już nic.,16-12-2008 08:26,PSL
Banda matołów,23-05-2008 07:11,PIS
Balcerowicz musi odejść,05-11-2008 06:30,RP
Niesioł siad,08-09-2008 11:41,SLD
Polska jest be,11-02-2008 03:58,PSL
Żądam sprawiedliwości!,13-08-2008 08:48,SLD
Gdzie jest krzyż,16-11-2008 15:37,PSL
Polska jest be,10-10-2008 14:05,RP
Polska jest be,18-04-2008 19:18,RP
Polska jest be,01-06-2008 06:28,RP
Polska jest be,21-09-2008 16:30,PSL
Banda matołów,25-07-2008 02:30,PSL
Żądam sprawiedliwości!,03-03-2008 03:50,RP
Gdzie jest krzyż,04-01-2008 04:20,PO
Nie chcę już nic.,05-12-2008 06:19,PIS
Gdzie jest krzyż,11-10-2008 16:50,RP
Balcerowicz musi odejść,16-08-2008 02:27,PIS
Gdzie jest krzyż,03-01-2008 19:16,PIS
Balcerowicz musi odejść,20-03-2008 19:46,PSL
Balcerowicz musi odejść,31-03-2008 11:45,PSL
Żądam sprawiedliwości!,26-07-2008 05:34,PIS
Banda matołów,08-03-2008 18:12,SLD
Gdzie jest krzyż,03-03-2008 23:51,RP
Niesioł siad,11-07-2008 00:13,RP
Żądam sprawiedliwości!,06-11-2008 03:29,PSL
Gdzie jest krzyż,22-10-2008 02:03,RP
Balcerowicz musi odejść,11-05-2008 01:17,PSL
Żądam sprawiedliwości!,27-04-2008 11:35,PO
Polska jest be,20-01-2008 14:57,RP
Polska jest super,22-04-2008 12:07,PIS
Polska jest super,05-04-2008 07:18,SLD
Banda matołów,31-03-2008 00:15,PSL
Żądam sprawiedliwości!,01-05-2008 23:22,RP
Polska jest be,30-07-2008 20:53,PO
Niesioł siad,07-06-2008 01:52,PO
Nie chcę już nic.,15-12-2008 14:35,PIS
Banda matołów,06-09-2008 03:49,SLD
Żądam sprawiedliwości!,06-09-2008 04:33,PIS
Balcerowicz musi odejść,25-02-2008 06:47,PSL
Balcerowicz musi odejść,27-12-2008 21:31,PO
Banda matołów,06-12-2008 21:07,SLD
Niesioł siad,04-06-2008 12:35,SLD
Nie chcę już nic.,29-01-2008 06:51,PIS
Polska jest super,05-08-2008 15:46,RP
Polska jest be,16-12-2008 00:14,PSL
Żądam sprawiedliwości!,14-10-2008 15:33,PIS
Polska jest be,30-11-2008 18:11,PSL
Polska jest super,23-01-2008 12:51,PSL
Gdzie jest krzyż,08-08-2008 00:22,PSL
Polska jest be,11-02-2008 10:33,PO
Gdzie jest krzyż,30-10-2008 09:32,RP
Polska jest be,21-08-2008 08:18,RP
Nie chcę już nic.,06-09-2008 03:46,RP
Nie chcę już nic.,13-02-2008 05:29,SLD
Polska jest super,27-04-2008 00:41,SLD
Polska jest super,01-09-2008 08:05,PO
Polska jest super,02-03-2008 16:42,RP
Balcerowicz musi odejść,15-03-2008 07:34,PSL
Polska jest be,20-08-2008 11:12,PIS
Niesioł siad,10-12-2008 13:18,PIS
Polska jest be,03-11-2008 08:38,PSL
Żądam sprawiedliwości!,12-03-2008 03:20,SLD
Polska jest super,18-08-2008 10:03,PIS
Żądam sprawiedliwości!,24-08-2008 21:20,PO
Banda matołów,19-06-2008 16:58,PSL
Gdzie jest krzyż,28-04-2008 20:34,RP
Banda matołów,29-06-2008 21:32,SLD
Polska jest super,14-09-2008 00:16,SLD
Banda matołów,26-06-2008 19:16,PO
Żądam sprawiedliwości!,05-05-2008 02:53,PSL
Niesioł siad,26-08-2008 21:39,RP
Żądam sprawiedliwości!,23-02-2008 01:42,SLD
Polska jest be,20-03-2008 23:37,RP
Polska jest super,01-10-2008 12:59,RP
Gdzie jest krzyż,24-10-2008 08:22,PO
Żądam sprawiedliwości!,14-03-2008 02:16,RP
Żądam sprawiedliwości!,18-03-2008 14:25,PSL
Żądam sprawiedliwości!,05-12-2008 04:13,PO
Polska jest super,19-01-2008 07:37,PO
Banda matołów,17-03-2008 02:36,SLD
Polska jest be,20-06-2008 11:36,RP
Żądam sprawiedliwości!,15-03-2008 12:48,PIS
Polska jest be,01-01-2008 09:35,PSL
Polska jest be,23-04-2008 23:44,PSL
Żądam sprawiedliwości!,28-03-2008 13:15,PIS
Gdzie jest krzyż,06-01-2008 19:40,SLD
Żądam sprawiedliwości!,19-10-2008 01:26,SLD
Polska jest be,11-09-2008 02:12,SLD
Niesioł siad,27-05-2008 03:03,PO
Nie chcę już nic.,27-05-2008 21:24,PSL
Żądam sprawiedliwości!,05-06-2008 17:36,PSL
Polska jest super,15-09-2008 00:24,SLD
Balcerowicz musi odejść,09-08-2008 15:03,PSL
Polska jest be,29-03-2008 07:05,SLD
Polska jest be,12-09-2008 23:13,PIS
Nie chcę już nic.,31-01-2008 02:01,PIS
Polska jest be,13-06-2008 13:07,SLD
Balcerowicz musi odejść,12-04-2008 11:44,PSL
Żądam sprawiedliwości!,23-06-2008 17:20,PSL
Niesioł siad,24-10-2008 05:50,RP
Gdzie jest krzyż,22-09-2008 02:09,PIS
Żądam sprawiedliwości!,27-08-2008 20:43,PIS
Żądam sprawiedliwości!,13-09-2008 18:21,PSL
Banda matołów,23-07-2008 13:33,PO
Polska jest be,16-06-2008 05:39,PO
Polska jest super,01-02-2008 04:08,PSL
Balcerowicz musi odejść,29-10-2008 19:55,RP
Żądam sprawiedliwości!,23-02-2008 19:27,SLD
Niesioł siad,13-08-2008 18:28,PSL
Balcerowicz musi odejść,27-07-2008 01:35,PSL
Polska jest super,28-01-2008 21:57,SLD
Gdzie jest krzyż,02-12-2008 16:09,PIS
Banda matołów,16-06-2008 09:00,PSL
Polska jest super,26-01-2008 14:53,RP
Banda matołów,29-10-2008 22:25,RP
Żądam sprawiedliwości!,23-06-2008 15:35,RP
Niesioł siad,16-03-2008 19:11,RP
Gdzie jest krzyż,11-06-2008 02:19,PIS
Nie chcę już nic.,01-11-2008 09:03,PIS
Polska jest super,11-02-2008 21:14,SLD
Banda matołów,01-04-2008 12:08,SLD
Polska jest super,03-09-2008 13:25,RP
Niesioł siad,17-05-2008 10:44,PSL
Gdzie jest krzyż,06-04-2008 05:03,PIS
Gdzie jest krzyż,31-01-2008 03:27,PIS
Polska jest super,01-02-2008 03:36,RP
Gdzie jest krzyż,01-10-2008 14:04,PSL
Niesioł siad,01-06-2008 18:21,PIS
Nie chcę już nic.,30-06-2008 22:56,PO
Banda matołów,19-12-2008 19:27,PO
Nie chcę już nic.,12-01-2008 09:02,RP
Gdzie jest krzyż,30-04-2008 02:27,PIS
Żądam sprawiedliwości!,23-06-2008 23:46,PIS
Nie chcę już nic.,22-08-2008 13:10,PIS
Banda matołów,25-05-2008 08:13,SLD
Niesioł siad,20-03-2008 05:18,PSL
Niesioł siad,15-12-2008 03:04,RP
Balcerowicz musi odejść,19-11-2008 18:49,PSL
Niesioł siad,22-04-2008 12:01,SLD
Balcerowicz musi odejść,29-06-2008 14:55,PIS
Żądam sprawiedliwości!,08-03-2008 01:26,PO
Balcerowicz musi odejść,14-09-2008 23:31,SLD
Gdzie jest krzyż,03-03-2008 11:10,PSL
Balcerowicz musi odejść,01-08-2008 13:51,PO
Polska jest super,01-09-2008 18:08,PSL
Banda matołów,24-06-2008 11:45,PO
Polska jest super,15-03-2008 19:34,SLD
Żądam sprawiedliwości!,14-06-2008 06:44,PIS
Polska jest be,24-12-2008 05:30,SLD
Polska jest super,11-01-2008 09:00,PO
Banda matołów,31-12-2008 02:34,PO
Polska jest super,28-07-2008 20:32,PSL
Żądam sprawiedliwości!,14-04-2008 18:13,PIS
Niesioł siad,06-06-2008 03:03,PO
Balcerowicz musi odejść,23-06-2008 20:10,PSL
Balcerowicz musi odejść,08-12-2008 05:46,SLD
Nie chcę już nic.,22-08-2008 03:20,PSL
Niesioł siad,13-01-2008 23:59,SLD
Nie chcę już nic.,22-01-2008 21:32,RP
Balcerowicz musi odejść,03-11-2008 15:43,PO
Polska jest be,17-12-2008 23:02,PIS
Balcerowicz musi odejść,20-06-2008 11:40,PIS
Polska jest super,05-02-2008 05:27,PO
Banda matołów,21-08-2008 11:01,SLD
Nie chcę już nic.,09-11-2008 12:34,RP
Nie chcę już nic.,14-10-2008 10:51,RP
Polska jest super,03-07-2008 09:07,PIS
Balcerowicz musi odejść,17-03-2008 00:17,PSL
Polska jest super,02-06-2008 02:24,PO
Balcerowicz musi odejść,15-01-2008 12:36,PO
Balcerowicz musi odejść,28-01-2008 15:18,RP
Niesioł siad,06-10-2008 04:49,PSL
Polska jest be,04-08-2008 14:00,PO
Balcerowicz musi odejść,24-04-2008 12:41,PSL
Polska jest super,15-07-2008 05:17,PIS
Nie chcę już nic.,10-12-2008 15:15,PO
Polska jest super,12-08-2008 06:15,PIS
Balcerowicz musi odejść,17-02-2008 02:56,SLD
Balcerowicz musi odejść,03-12-2008 16:06,PSL
Polska jest be,12-09-2008 23:09,PIS
Balcerowicz musi odejść,13-11-2008 06:44,PIS
Polska jest super,16-10-2008 20:24,SLD
Balcerowicz musi odejść,17-10-2008 20:18,RP
Niesioł siad,07-03-2008 06:59,PO
Balcerowicz musi odejść,26-10-2008 02:10,SLD
Gdzie jest krzyż,12-10-2008 13:17,PO
Niesioł siad,10-02-2008 15:36,PIS
Żądam sprawiedliwości!,17-10-2008 07:49,RP
Banda matołów,07-05-2008 13:40,PO
Banda matołów,18-11-2008 04:30,RP
Gdzie jest krzyż,26-10-2008 05:05,RP
Gdzie jest krzyż,15-03-2008 04:25,PSL
Balcerowicz musi odejść,12-01-2008 08:53,PO
Niesioł siad,25-12-2008 21:55,PSL
Polska jest super,10-08-2008 13:00,PIS
Polska jest be,28-10-2008 11:27,PIS
Balcerowicz musi odejść,14-02-2008 09:42,RP
Nie chcę już nic.,05-03-2008 12:15,PSL
Polska jest be,15-10-2008 00:32,PO
Żądam sprawiedliwości!,08-12-2008 06:29,PIS
Banda matołów,18-01-2008 15:30,PO
Żądam sprawiedliwości!,22-05-2008 07:04,RP
Gdzie jest krzyż,07-01-2008 01:16,PSL
Balcerowicz musi odejść,02-11-2008 03:12,PSL
Nie chcę już nic.,03-10-2008 15:46,RP
Polska jest be,08-11-2008 23:38,PSL
Nie chcę już nic.,18-12-2008 07:48,PO
Balcerowicz musi odejść,29-02-2008 09:46,RP
Banda matołów,31-07-2008 16:33,RP
Niesioł siad,02-11-2008 14:54,PSL
Banda matołów,18-12-2008 06:55,RP
Żądam sprawiedliwości!,25-12-2008 11:41,PIS
Niesioł siad,14-08-2008 08:02,PIS
Balcerowicz musi odejść,25-02-2008 20:59,SLD
Żądam sprawiedliwości!,11-07-2008 05:15,SLD
Polska jest super,06-01-2008 03:23,SLD
Banda matołów,06-07-2008 10:42,PIS
Banda matołów,10-03-2008 12:46,PIS
Żądam sprawiedliwości!,24-11-2008 00:13,SLD
Balcerowicz musi odejść,07-11-2008 14:53,RP
Nie chcę już nic.,29-01-2008 18:23,RP
Polska jest super,12-10-2008 06:13,PO
Balcerowicz musi odejść,04-03-2008 03:08,PSL
Gdzie jest krzyż,25-11-2008 22:38,PO
Polska jest super,16-04-2008 15:56,SLD
Żądam sprawiedliwości!,16-12-2008 07:40,PO
Balcerowicz musi odejść,08-08-2008 03:43,PIS
Żądam sprawiedliwości!,17-12-2008 06:18,PIS
Polska jest be,25-08-2008 04:58,PSL
Polska jest super,02-08-2008 12:44,PO
Polska jest super,21-11-2008 11:17,PO
Polska jest be,21-04-2008 06:08,SLD
Banda matołów,13-09-2008 08:45,PIS
Polska jest be,20-06-2008 00:25,RP
Polska jest super,15-01-2008 04:12,RP
Żądam sprawiedliwości!,07-04-2008 05:21,SLD
Niesioł siad,14-11-2008 23:30,PSL
Balcerowicz musi odejść,12-02-2008 09:53,RP
Nie chcę już nic.,15-03-2008 16:10,PSL
Polska jest super,08-09-2008 10:07,RP
Niesioł siad,10-05-2008 15:53,PO
Polska jest be,15-09-2008 14:29,PSL
Nie chcę już nic.,09-01-2008 06:22,RP
Polska jest be,22-02-2008 15:29,PSL
Polska jest super,15-02-2008 16:06,RP
Niesioł siad,24-02-2008 10:24,SLD
Niesioł siad,05-12-2008 11:27,PIS
Balcerowicz musi odejść,12-03-2008 07:32,PSL
Polska jest super,10-10-2008 17:54,PSL
Nie chcę już nic.,02-01-2008 16:12,RP
Polska jest super,29-06-2008 08:40,RP
Żądam sprawiedliwości!,03-04-2008 13:23,PSL
Polska jest be,31-07-2008 23:09,PO
Polska jest be,12-10-2008 17:05,RP
Polska jest super,25-03-2008 05:05,PIS
Balcerowicz musi odejść,14-01-2008 06:41,PO
Polska jest be,19-04-2008 19:58,RP
Banda matołów,18-04-2008 05:59,RP
Gdzie jest krzyż,15-03-2008 09:47,PIS
Nie chcę już nic.,03-11-2008 16:20,PSL
Niesioł siad,10-07-2008 22:18,PIS
Polska jest super,06-11-2008 14:18,RP
Niesioł siad,02-03-2008 18:54,PO
Niesioł siad,30-09-2008 18:48,SLD
Polska jest be,30-07-2008 03:18,SLD
Żądam sprawiedliwości!,24-02-2008 01:38,PIS
Żądam sprawiedliwości!,02-09-2008 07:24,RP
Banda matołów,09-12-2008 05:17,RP
Banda matołów,21-08-2008 14:28,PIS
Banda matołów,09-12-2008 20:55,PSL
Żądam sprawiedliwości!,15-03-2008 22:56,PO
Polska jest super,22-05-2008 02:39,SLD
Balcerowicz musi odejść,27-05-2008 22:40,RP
Żądam sprawiedliwości!,02-04-2008 23:56,SLD
Żądam sprawiedliwości!,02-10-2008 10:51,PIS
Gdzie jest krzyż,07-06-2008 19:51,SLD
Polska jest super,03-12-2008 11:31,PO
Balcerowicz musi odejść,29-06-2008 18:30,SLD
Gdzie jest krzyż,03-02-2008 08:07,PIS
Polska jest be,03-11-2008 21:28,PO
Żądam sprawiedliwości!,14-11-2008 23:18,SLD
Gdzie jest krzyż,04-10-2008 04:49,PO
Żądam sprawiedliwości!,20-10-2008 23:49,SLD
Polska jest super,16-08-2008 06:11,RP
Żądam sprawiedliwości!,09-11-2008 13:28,SLD
Polska jest be,13-05-2008 22:12,PIS
Niesioł siad,09-03-2008 12:32,RP
Polska jest be,26-01-2008 08:52,PO
Polska jest super,23-08-2008 01:32,PO
Gdzie jest krzyż,03-08-2008 10:31,RP
Nie chcę już nic.,10-02-2008 21:31,SLD
Żądam sprawiedliwości!,01-01-2008 04:03,PSL
Polska jest super,31-03-2008 05:44,PSL
Banda matołów,25-09-2008 01:14,PO
Niesioł siad,04-02-2008 02:58,RP
Polska jest super,30-03-2008 11:36,SLD
Banda matołów,01-05-2008 18:20,PSL
Polska jest super,11-10-2008 21:13,RP
Polska jest super,19-11-2008 17:24,SLD
Polska jest be,20-05-2008 20:27,SLD
Polska jest super,17-11-2008 03:32,SLD
Gdzie jest krzyż,15-06-2008 23:19,PIS
Banda matołów,19-04-2008 10:47,PSL
Polska jest be,07-05-2008 12:29,PIS
Żądam sprawiedliwości!,07-03-2008 05:05,PSL
Żądam sprawiedliwości!,19-07-2008 16:31,RP
Balcerowicz musi odejść,29-10-2008 15:14,SLD
Niesioł siad,30-09-2008 10:32,RP
Banda matołów,11-09-2008 10:42,PSL
Niesioł siad,04-02-2008 12:40,PO
Żądam sprawiedliwości!,15-08-2008 01:56,PO
Niesioł siad,23-04-2008 11:15,PO
Polska jest be,22-07-2008 05:34,RP
Nie chcę już nic.,26-01-2008 06:45,SLD
Gdzie jest krzyż,11-12-2008 04:54,PO
Balcerowicz musi odejść,04-04-2008 12:00,RP
Gdzie jest krzyż,21-08-2008 08:17,RP
Balcerowicz musi odejść,22-03-2008 16:44,PSL
Polska jest super,22-05-2008 00:20,PO
Balcerowicz musi odejść,23-12-2008 07:16,PSL
Żądam sprawiedliwości!,21-10-2008 10:46,RP
Niesioł siad,10-12-2008 18:25,SLD
Banda matołów,14-03-2008 20:12,PO
Polska jest be,12-03-2008 06:16,SLD
Żądam sprawiedliwości!,23-02-2008 03:04,RP
Niesioł siad,18-08-2008 13:11,PSL
Polska jest super,18-01-2008 15:00,PIS
Gdzie jest krzyż,03-01-2008 13:07,SLD
Banda matołów,19-09-2008 10:04,PIS
Polska jest be,15-11-2008 04:52,PIS
Polska jest super,02-07-2008 01:00,RP
Banda matołów,09-07-2008 09:56,RP
Polska jest super,13-11-2008 01:05,PO
Gdzie jest krzyż,30-11-2008 08:50,PIS
Balcerowicz musi odejść,08-07-2008 11:24,PO
Banda matołów,11-05-2008 19:24,PSL
Balcerowicz musi odejść,20-09-2008 11:29,PIS
Balcerowicz musi odejść,08-02-2008 22:32,PO
Nie chcę już nic.,13-09-2008 04:48,PIS
Gdzie jest krzyż,23-10-2008 02:34,RP
Balcerowicz musi odejść,28-05-2008 22:27,RP
Banda matołów,05-08-2008 23:25,PSL
Banda matołów,06-04-2008 23:31,PSL
Banda matołów,14-10-2008 21:46,PO
Banda matołów,20-05-2008 16:57,PO
Polska jest super,24-06-2008 10:29,RP
Żądam sprawiedliwości!,26-02-2008 04:58,RP
Polska jest be,24-03-2008 13:21,PO
Gdzie jest krzyż,02-03-2008 00:01,SLD
Polska jest super,21-04-2008 03:16,SLD
Polska jest super,19-02-2008 12:12,RP
Niesioł siad,16-06-2008 05:07,RP
Polska jest super,27-10-2008 04:21,SLD
Banda matołów,08-01-2008 17:55,PO
Balcerowicz musi odejść,07-05-2008 16:36,PO
Niesioł siad,24-03-2008 15:04,PO
Polska jest super,15-08-2008 13:02,PO
Polska jest super,21-04-2008 11:54,PIS
Nie chcę już nic.,19-03-2008 23:11,PO
Niesioł siad,27-10-2008 05:52,PIS
Gdzie jest krzyż,24-07-2008 12:39,PSL
Balcerowicz musi odejść,02-10-2008 17:54,PO
Żądam sprawiedliwości!,18-07-2008 10:55,PO
Balcerowicz musi odejść,12-04-2008 21:09,PIS
Banda matołów,07-06-2008 00:45,RP
Niesioł siad,07-03-2008 23:09,PIS
